"endTime","msPlayed","trackName","artistName"
"2021-01-10 23:03",13072,"Woman","Lola Young"
"2021-01-12 08:12",1431,"The Other Lover (Little Dragon & Moses Sumney)","Little Dragon"
"2021-01-12 08:12",4445,"Trouble Train","Tia Carys"
"2021-01-12 08:12",937,"La Danse","SLANT"
"2021-01-12 08:12",951,"forget—me—not! (feat. Instupendo)","MISOGI"
"2021-01-12 08:12",7695,"Take Me Where Your Heart Is","Q"
"2021-01-12 08:12",934,"Christmas is Coming (We All Know The Score)","Buzzard Buzzard Buzzard"
"2021-01-12 08:12",1944,"Oh the Silence","October Drift"
"2021-01-12 08:12",4178,"Dusk","Alice Phoebe Lou"
"2021-01-12 08:12",928,"You Shouldn’t Have F****d With Me","Georgia Twinn"
"2021-01-12 08:12",932,"Save Your Tears","Rose Gray"
"2021-01-12 08:12",942,"Drink It Down","Silverbacks"
"2021-01-12 08:12",1197,"Come With Me","Stats"
"2021-01-12 08:12",4439,"Cigarettes & Alcohol - A COLORS ENCORE","Santino Le Saint"
"2021-01-12 08:12",4679,"Shades of You","Moses Boyd"
"2021-01-12 08:12",930,"Gold Teeth","Tunnelvisions"
"2021-01-12 08:12",5697,"dominique","Ela Minus"
"2021-01-12 08:12",930,"I Don't Recognise You","NewDad"
"2021-01-12 08:12",2181,"My Own Person","Smoothboi Ezra"
"2021-01-12 08:12",2172,"Bando","July 7"
"2021-01-12 08:12",940,"Commercial Street","AV Dummy"
"2021-01-12 08:12",932,"Commercial Street","AV Dummy"
"2021-01-12 08:12",1440,"Offside","Yizzy"
"2021-01-12 08:12",940,"Time (feat. JGrrey)","Conducta"
"2021-01-12 08:12",941,"WITHOUT YOU","The Kid LAROI"
"2021-01-12 08:12",923,"Man Of The Moment","Ransom Fa"
"2021-01-12 08:12",2677,"Spinning","moa moa"
"2021-01-12 08:12",4189,"Waverly","Samia"
"2021-01-12 08:12",2932,"Fool","Yiigaa"
"2021-01-12 08:12",935,"Change","TSHA"
"2021-01-12 08:12",935,"Poison (feat. Bakar)","Lancey Foux"
"2021-01-12 08:12",6927,"Clout","Ivorian Doll"
"2021-01-12 08:12",934,"Who Do You Believe","Big Wild"
"2021-01-12 08:12",1944,"Renegade Breakdown","Marie Davidson"
"2021-01-12 08:12",1928,"Philly","COSIMA"
"2021-01-12 08:38",193373,"Last Nite","The Strokes"
"2021-01-12 08:43",293360,"Bad Decisions","The Strokes"
"2021-01-12 08:47",222360,"Tap Out","The Strokes"
"2021-01-12 08:50",169273,"What Ever Happened?","The Strokes"
"2021-01-12 08:55",276506,"On the Other Side","The Strokes"
"2021-01-12 08:58",219753,"Reptilia","The Strokes"
"2021-01-12 09:02",204773,"Call It Fate, Call It Karma","The Strokes"
"2021-01-12 09:05",189226,"You Only Live Once","The Strokes"
"2021-01-12 09:10",337333,"Not The Same Anymore","The Strokes"
"2021-01-12 09:15",299232,"Oblivius","The Strokes"
"2021-01-12 09:18",151333,"Is This It","The Strokes"
"2021-01-12 09:22",264724,"Threat of Joy","The Strokes"
"2021-01-12 09:26",211360,"New York City Cops","The Strokes"
"2021-01-12 09:30",242293,"One Way Trigger","The Strokes"
"2021-01-12 09:34",234693,"Barely Legal","The Strokes"
"2021-01-12 09:36",153133,"12:51","The Strokes"
"2021-01-12 09:44",162411,"Selfless","The Strokes"
"2021-01-12 09:45",21610,"Is This It","The Strokes"
"2021-01-12 09:45",18500,"The Glow","DMA'S"
"2021-01-12 09:47",151333,"Is This It","The Strokes"
"2021-01-12 09:51",208066,"The Modern Age","The Strokes"
"2021-01-12 09:53",153840,"Soma","The Strokes"
"2021-01-12 09:57",234693,"Barely Legal","The Strokes"
"2021-01-12 10:00",183440,"Someday","The Strokes"
"2021-01-12 10:03",188640,"Alone, Together","The Strokes"
"2021-01-12 10:07",193373,"Last Nite","The Strokes"
"2021-01-12 10:10",224333,"Hard To Explain","The Strokes"
"2021-01-12 10:13",175200,"When It Started","The Strokes"
"2021-01-12 10:17",202760,"Trying Your Luck","The Strokes"
"2021-01-12 10:20",196066,"Take It Or Leave It","The Strokes"
"2021-01-12 10:23",151333,"Is This It","The Strokes"
"2021-01-12 10:26",208066,"The Modern Age","The Strokes"
"2021-01-12 10:33",153840,"Soma","The Strokes"
"2021-01-12 10:41",234693,"Barely Legal","The Strokes"
"2021-01-12 10:44",183440,"Someday","The Strokes"
"2021-01-12 10:47",188640,"Alone, Together","The Strokes"
"2021-01-12 10:51",193373,"Last Nite","The Strokes"
"2021-01-12 10:53",148136,"Hard To Explain","The Strokes"
"2021-01-12 13:03",12503,"The Adults Are Talking","The Strokes"
"2021-01-12 13:10",309053,"The Adults Are Talking","The Strokes"
"2021-01-12 13:13",222093,"Selfless","The Strokes"
"2021-01-12 13:17",235946,"Brooklyn Bridge To Chorus","The Strokes"
"2021-01-12 16:22",158452,"Bad Decisions","The Strokes"
"2021-01-12 16:26",264725,"Threat of Joy","The Strokes"
